SCATS Number,Location,day,month,year,day_of_week,flow_9to10
4043,BURKE_RD N of TOORAK_RD,11,10,2006,2,975
3120,BURKE_RD N of CANTERBURY_RD,10,10,2006,1,971
3122,CANTERBURY_RD E of STANHOPE_GV,27,10,2006,4,1346
3122,CANTERBURY_RD E of STANHOPE_GV,30,10,2006,0,1269
3120,BURKE_RD N of CANTERBURY_RD,26,10,2006,3,905
3126,CANTERBURY_RD E of WARRIGAL_RD,2,10,2006,0,1030
3126,CANTERBURY_RD E of WARRIGAL_RD,31,10,2006,1,1294
4032,BURKE_RD N of HARP_RD,30,10,2006,0,883
4035,BURKE_RD N of MONT ALBERT_RD,28,10,2006,5,865
3122,CANTERBURY_RD E of STANHOPE_GV,16,10,2006,0,1283
3126,CANTERBURY_RD E of WARRIGAL_RD,14,10,2006,5,899
4032,BURKE_RD N of HARP_RD,9,10,2006,0,875
4043,BURKE_RD N of TOORAK_RD,18,10,2006,2,864
4043,BURKE_RD N of TOORAK_RD,29,10,2006,6,565
4043,BURKE_RD N of TOORAK_RD,7,10,2006,5,837
4043,BURKE_RD N of TOORAK_RD,12,10,2006,3,949
3120,BURKE_RD N of CANTERBURY_RD,6,10,2006,4,944
4032,BURKE_RD N of HARP_RD,1,10,2006,6,613
4032,BURKE_RD N of HARP_RD,10,10,2006,1,1022
4032,BURKE_RD N of HARP_RD,14,10,2006,5,877
3126,CANTERBURY_RD E of WARRIGAL_RD,12,10,2006,3,1168
3180,BALWYN_RD S of DONCASTER_RD,12,10,2006,3,411
4030,BURKE_RD S of DONCASTER_RD,14,10,2006,5,887
4034,BURKE_RD N OF WHITEHORSE_RD,21,10,2006,5,1066
3126,CANTERBURY_RD E of WARRIGAL_RD,15,10,2006,6,636
4032,BURKE_RD N of HARP_RD,19,10,2006,3,956
3180,BALWYN_RD S of DONCASTER_RD,21,10,2006,5,356
3122,CANTERBURY_RD E of STANHOPE_GV,3,10,2006,1,1332
4040,BURKE_RD N of RIVERSDALE_RD,28,10,2006,5,419
4040,BURKE_RD N of RIVERSDALE_RD,4,10,2006,2,425
3180,BALWYN_RD S of DONCASTER_RD,16,10,2006,0,415
3120,BURKE_RD N of CANTERBURY_RD,4,10,2006,2,893
3126,CANTERBURY_RD E of WARRIGAL_RD,21,10,2006,5,970
4040,BURKE_RD N of RIVERSDALE_RD,12,10,2006,3,463
3180,BALWYN_RD S of DONCASTER_RD,1,10,2006,6,225
3180,BALWYN_RD S of DONCASTER_RD,9,10,2006,0,376
3122,CANTERBURY_RD E of STANHOPE_GV,15,10,2006,6,684
3120,BURKE_RD N of CANTERBURY_RD,18,10,2006,2,928
4034,BURKE_RD N OF WHITEHORSE_RD,12,10,2006,3,1241
3180,BALWYN_RD S of DONCASTER_RD,27,10,2006,4,398
3122,CANTERBURY_RD E of STANHOPE_GV,12,10,2006,3,1355
3120,BURKE_RD N of CANTERBURY_RD,25,10,2006,2,917
4032,BURKE_RD N of HARP_RD,25,10,2006,2,973
4035,BURKE_RD N of MONT ALBERT_RD,26,10,2006,3,1025
4043,BURKE_RD N of TOORAK_RD,20,10,2006,4,862
4034,BURKE_RD N OF WHITEHORSE_RD,11,10,2006,2,1146
4035,BURKE_RD N of MONT ALBERT_RD,10,10,2006,1,1020
3120,BURKE_RD N of CANTERBURY_RD,8,10,2006,6,699
4043,BURKE_RD N of TOORAK_RD,9,10,2006,0,899
3126,CANTERBURY_RD E of WARRIGAL_RD,16,10,2006,0,1186
3180,BALWYN_RD S of DONCASTER_RD,22,10,2006,6,254
4035,BURKE_RD N of MONT ALBERT_RD,23,10,2006,0,939
4030,BURKE_RD S of DONCASTER_RD,22,10,2006,6,575
3126,CANTERBURY_RD E of WARRIGAL_RD,23,10,2006,0,1033
4032,BURKE_RD N of HARP_RD,27,10,2006,4,949
4035,BURKE_RD N of MONT ALBERT_RD,14,10,2006,5,867
4043,BURKE_RD N of TOORAK_RD,24,10,2006,1,879
4034,BURKE_RD N OF WHITEHORSE_RD,13,10,2006,4,1152
4034,BURKE_RD N OF WHITEHORSE_RD,10,10,2006,1,1172
4034,BURKE_RD N OF WHITEHORSE_RD,25,10,2006,2,1170
4035,BURKE_RD N of MONT ALBERT_RD,8,10,2006,6,678
4032,BURKE_RD N of HARP_RD,4,10,2006,2,1042
4030,BURKE_RD S of DONCASTER_RD,3,10,2006,1,1018
3180,BALWYN_RD S of DONCASTER_RD,17,10,2006,1,372
4035,BURKE_RD N of MONT ALBERT_RD,31,10,2006,1,943
4035,BURKE_RD N of MONT ALBERT_RD,18,10,2006,2,1022
4034,BURKE_RD N OF WHITEHORSE_RD,17,10,2006,1,1283
3126,CANTERBURY_RD E of WARRIGAL_RD,17,10,2006,1,1216
4030,BURKE_RD S of DONCASTER_RD,24,10,2006,1,1048
3122,CANTERBURY_RD E of STANHOPE_GV,29,10,2006,6,619
3180,BALWYN_RD S of DONCASTER_RD,26,10,2006,3,389
3120,BURKE_RD N of CANTERBURY_RD,7,10,2006,5,889
4032,BURKE_RD N of HARP_RD,28,10,2006,5,821
3120,BURKE_RD N of CANTERBURY_RD,31,10,2006,1,917
3120,BURKE_RD N of CANTERBURY_RD,23,10,2006,0,879
4040,BURKE_RD N of RIVERSDALE_RD,15,10,2006,6,421
